Latitude,Longitude,Name,Altitude
-20.6680708,140.5063962,1,188.38
-20.6680706,140.5063967,2,24.384
-20.6661256,140.505293,3,36.576
-20.6661256,140.505293,4,548.639996
-20.6625218,140.5149865,5,548.639996
-20.6629936,140.5137634,6,548.639996
-20.6692225,140.4970961,7,548.639996
-20.6642434,140.5061567,8,457.199997
-20.6642384,140.5061567,9,42.672
-20.6644392,140.5089247,10,36.576
-20.6653125,140.5096221,11,27.432
-20.6663616,140.5088121,12,24.384
-20.6672198,140.5076158,13,18.288
-20.665684,140.5016398,14,457.199997
-20.6656814,140.5016372,15,42.672
-20.6677318,140.5003417,16,36.576
-20.6689063,140.5010176,17,27.432
-20.6688762,140.5035067,18,24.384
-20.6685248,140.5049658,19,18.288
